raw_text,device_type_hint,device_model_id
Advantage (Sequoia),DRE no VVPAT,71
ImageCast X/ICX DRE (Dominion),DRE no VVPAT,21
ExpressTouch (ES&S),DRE no VVPAT,35
Verity Touch DRE (Hart),DRE no VVPAT,52
eSlate (Hart),DRE no VVPAT,51
iVotronic (ES&S),DRE no VVPAT,36
EXPRESS TOUCH ES&S,DRE with VVPAT,35
EXPRESS VOTE,DRE with VVPAT,27
EXPRESS VOTE ESS,DRE with VVPAT,27
ES&S EXPRESSVOTE KIOSK,DRE with VVPAT,27
DS 200 EXPRESS VOTE,DRE with VVPAT,38
ES&S EXPRESSVOTE XL,DRE with VVPAT,28
HART-VERITY SCANNER,DRE with VVPAT,53
DIEBOLD TSX,DRE with VVPAT,66
AccuVote-TSX (Premier),DRE with VVPAT,66
MICROVOTE EMS 4.41 VOTING SYSTEM,DRE with VVPAT,97.0
VERITY VOTING 2.5,DRE with VVPAT,98.0
VERITY DUO,DRE with VVPAT,47
VERITY SCAN,DRE with VVPAT,53
ESS,DRE with VVPAT,99.0
DS-200,DRE with VVPAT,38
CLEAR BALLOT CAST UNIT,DRE with VVPAT,7
CLEAR BALLOT ACCESS UNIT,DRE with VVPAT,4
EXPRESS VOTE TABULATOR V2.1,DRE with VVPAT,28
MICROVOTE INFINITY VP-1 WITH VVPAT,DRE with VVPAT,61
ImageCast Precinct with Integrated BMD (Dominion),BMD,18
ExpressVote (ES&S),BMD,27
DOMINION IMAGECAST X/V5.17.17.1,BMD,19
OpenElect FVT (Unisyn),BMD,82
DS200,BMD,38
ImageCast X/ICX BMD (Dominion),BMD,19
ImageCast Evolution/ICE (Dominion),BMD,23
Verity Touch Writer (Hart),BMD,48
VSAP Ballot Marking Device (Los Angeles County),BMD,75
AVALUE TECHNOLOGY INC SLD-21V-237-B1R,BMD,100.0
ImageCast X/Samsung Galaxy Tab Pro (Dominion),BMD,19
ClearAccess (Clear Ballot),BMD,4
Inspire Ballot Marking System (IVS),BMD,56
DS 200 TABULATOR,BMD,38
EXPRESSVOTES AND AUTOMARKS,BMD,26
OpenElect OVI (Unisyn),BMD,83
AutoMARK (ES&S),BMD,26
HART VERACITY,BMD,101.0
HART INTERCIVIC VERITY 2.7,BMD,102.0
UNISYN FREEDOM VOTE TABLET,BMD,82
DIEBOLD TOUCHSCREEN,BMD,103.0
GBS TSX,BMD,104.0
DS200 ES&S,BMD,38
HART INTERCIVIC 2.5,BMD,105.0
HART INTERCIVIC VERITY 2.5,BMD,106.0
HART VERITY 2.5,BMD,107.0
HART INTERCIVIC,BMD,108.0
DUO STANDALONE,BMD,47
HART-VERITY DUO,BMD,47
HARP VERITY,BMD,109.0
HART INTERCIVIC VERITY DUO,BMD,47
