elec_date,county,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner,unused
11/5/2024,ADAIR,ADAIR COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,17,17,1,CHASE OLIVER | MIKE TER MAAT,LIB,0,4,16,20,,
11/5/2024,ADAIR,ADAIR COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,17,17,2,DONALD J. TRUMP | JD VANCE,REP,103,985,4772,5860,,
11/5/2024,ADAIR,ADAIR COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,17,17,3,KAMALA D. HARRIS | TIM WALZ,DEM,64,251,974,1289,,
11/5/2024,ADAIR,ADAIR COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,17,17,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,0,7,55,62,,
11/5/2024,ADAIR,ADAIR COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,17,17,5,CHRIS GARRITY | CODY BALLARD,IND,3,2,20,25,,
11/5/2024,ALFALFA,ALFALFA COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,8,8,1,CHASE OLIVER | MIKE TER MAAT,LIB,0,0,6,6,,
11/5/2024,ALFALFA,ALFALFA COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,8,8,2,DONALD J. TRUMP | JD VANCE,REP,49,357,1485,1891,,
11/5/2024,ALFALFA,ALFALFA COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,8,8,3,KAMALA D. HARRIS | TIM WALZ,DEM,12,50,174,236,,
11/5/2024,ALFALFA,ALFALFA COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,8,8,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,0,5,18,23,,
11/5/2024,ALFALFA,ALFALFA COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,8,8,5,CHRIS GARRITY | CODY BALLARD,IND,0,0,4,4,,
11/5/2024,ATOKA,ATOKA COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,13,13,1,CHASE OLIVER | MIKE TER MAAT,LIB,0,1,7,8,,
11/5/2024,ATOKA,ATOKA COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,13,13,2,DONALD J. TRUMP | JD VANCE,REP,94,1524,3214,4832,,
11/5/2024,ATOKA,ATOKA COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,13,13,3,KAMALA D. HARRIS | TIM WALZ,DEM,42,286,451,779,,
11/5/2024,ATOKA,ATOKA COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,13,13,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,0,4,28,32,,
11/5/2024,ATOKA,ATOKA COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,13,13,5,CHRIS GARRITY | CODY BALLARD,IND,0,2,9,11,,
11/5/2024,BEAVER,BEAVER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,1,CHASE OLIVER | MIKE TER MAAT,LIB,1,0,7,8,,
11/5/2024,BEAVER,BEAVER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,2,DONALD J. TRUMP | JD VANCE,REP,72,459,1407,1938,,
11/5/2024,BEAVER,BEAVER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,3,KAMALA D. HARRIS | TIM WALZ,DEM,13,41,104,158,,
11/5/2024,BEAVER,BEAVER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,0,2,15,17,,
11/5/2024,BEAVER,BEAVER COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,7,7,5,CHRIS GARRITY | CODY BALLARD,IND,1,0,2,3,,
11/5/2024,BECKHAM,BECKHAM COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,12,12,1,CHASE OLIVER | MIKE TER MAAT,LIB,1,2,23,26,,
11/5/2024,BECKHAM,BECKHAM COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,12,12,2,DONALD J. TRUMP | JD VANCE,REP,188,1611,4675,6474,,
11/5/2024,BECKHAM,BECKHAM COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,12,12,3,KAMALA D. HARRIS | TIM WALZ,DEM,65,258,770,1093,,
11/5/2024,BECKHAM,BECKHAM COUNTY,10001,ELECTORS FOR PRESIDENT AND VICE PRESIDENT,,12,12,4,ROBERT F. KENNEDY JR. | NICOLE SHANAHAN,IND,2,5,64,71,,
