region_id,cvap_white,cvap_black,cvap_hispanic,cvap_asian,cvap_other,cvap_total,equipment_quality
4800100000,26950,8695,6770,245,1820,44480,0.7428070175438597
4800300000,5465,345,5450,20,165,11445,0.7511764705882353
4800500000,40595,7610,8720,690,2550,60165,0.744337899543379
4800700000,14395,255,4440,230,665,19985,0.5243478260869565
4800900000,5935,25,365,20,155,6500,0.528
4801100000,1290,10,90,4,26,1420,0.7346153846153847
4801300000,12820,395,20150,165,405,33935,0.7411111111111112
4801500000,15415,2000,3820,145,335,21715,0.7434090909090909
4801700000,1810,30,2470,15,10,4335,0.742
4801900000,13895,210,2855,55,385,17400,0.5233333333333333
4802100000,39850,4775,19770,525,1450,66370,0.7446896551724138
4802300000,2250,25,280,0,55,2610,0.71
4802500000,7600,1830,13520,95,865,23910,0.64
4802900000,447255,112910,766045,33355,33335,1392900,0.739051811716898
4803100000,7915,90,1290,45,170,9510,0.71
4803300000,355,25,85,0,10,475,0.73
4803500000,11725,200,1650,75,300,13950,0.7292592592592593
4803700000,45430,16730,3615,600,1750,68125,0.7453138075313808
4803900000,129015,43685,68040,15015,4770,260525,0.5128294036061026
4804100000,108780,17755,35415,5950,3420,171320,0.5142708333333333
4804300000,4550,25,2860,30,70,7535,0.7385714285714285
4804500000,740,40,160,0,5,945,0.7433333333333333
4804700000,535,55,4740,0,35,5365,0.555
4804900000,22410,900,5515,145,560,29530,0.520695652173913
4805100000,9695,1660,1900,4,196,13455,0.5323076923076923
4805300000,30825,480,5835,165,1015,38320,0.29
4805500000,14495,1700,14820,190,765,31970,0.7440909090909091
4805700000,6915,370,6275,485,235,14280,0.6633333333333333
4805900000,9430,140,1015,15,325,10925,0.5243478260869565
4806100000,31435,1415,209260,1435,1260,244805,0.7473770491803279
4806300000,5480,1400,1175,80,215,8350,0.75
4806500000,3790,35,410,4,246,4485,0.7519354838709678
4806700000,17125,3590,605,65,360,21745,0.64
4806900000,1770,70,2420,10,60,4330,0.29
4807100000,23410,2930,5835,710,455,33340,0.520859375
4807300000,24485,5245,4400,155,555,34840,0.5331958762886598
4807500000,2965,450,1705,10,190,5320,0.738
4807700000,7400,115,455,25,270,8265,0.741044776119403
4807900000,690,95,765,0,20,1570,0.7346153846153847
4808100000,2035,4,495,4,57,2595,0.5368421052631579
4808300000,4960,220,515,35,95,5825,0.7395652173913043
4808500000,445790,82645,90310,88160,19330,726235,0.740155183116077
4808700000,1160,125,530,0,80,1895,0.65
4808900000,9610,1870,3415,45,170,15110,0.7342105263157894
4809100000,92430,3270,31365,1710,2830,131605,0.5161904761904762
4809500000,1760,120,605,30,55,2570,0.5414814814814815
4809700000,24705,1030,3725,260,780,30500,0.7476377952755906
4809900000,37100,8465,10950,1215,4565,62295,0.5275757575757576
4810100000,640,65,255,0,55,1015,0.7614285714285715
4810300000,1130,75,1360,45,25,2635,0.7427272727272727
4810500000,885,15,1070,0,0,1970,0.7417241379310345
4810700000,1620,85,1790,50,75,3620,0.57
4811100000,2105,85,1275,4,181,3650,0.7407692307692307
4811300000,594420,419540,420195,84860,39930,1558945,0.745043758636573
4811500000,3475,750,4445,45,170,8885,0.5485294117647059
4811700000,3315,145,6895,0,205,10560,0.517948717948718
4811900000,3315,335,255,4,131,4040,0.5794117647058824
4812100000,408915,72960,100595,47565,18825,648860,0.5716058394160584
4812300000,8885,1240,4510,80,200,14915,0.5225
4812500000,835,25,380,4,6,1250,0.5645454545454546
4812900000,2095,160,295,60,25,2635,0.75
4813100000,1280,70,5765,0,80,7195,0.57
4813500000,38000,4905,52930,1000,1760,98595,0.5233888888888889
4813700000,655,20,390,0,30,1095,0.79
4813900000,87450,19785,28695,1070,3295,140295,0.7466442953020134
4814100000,77935,18970,437560,5630,8845,548940,0.7446875
4814300000,26100,475,4930,185,585,32275,0.744
4814500000,7245,2875,2440,40,200,12800,0.5674074074074074
4814700000,22570,2000,2325,70,820,27785,0.5301190476190476
4814900000,14770,1125,2510,60,250,18715,0.7474193548387097
4815100000,1925,120,650,0,100,2795,0.7378260869565217
4815300000,1635,95,1640,0,100,3470,0.5
4815500000,670,4,90,4,57,825,0.3414285714285714
4815700000,188675,122030,112735,102810,11895,538145,0.7368779342723004
4815900000,6525,415,595,20,150,7705,0.7277777777777777
4816500000,6190,470,3955,4,86,10705,0.6614285714285715
4816700000,156080,31605,51985,7735,5910,253315,0.5251282051282051
4816900000,1765,340,1400,10,90,3605,0.7366666666666667
4817100000,17320,55,3300,65,325,21065,0.64
4817500000,3585,295,1515,0,65,5460,0.7308695652173913
4817700000,6715,1045,5340,50,105,13255,0.7366666666666667
4818100000,81075,5350,8905,900,3810,100040,0.7438926174496644
4818300000,55785,17780,9170,730,2160,85625,0.525759493670886
4818500000,14450,2665,4225,65,1055,22460,0.5296969696969697
4818700000,68435,10370,44245,2085,3610,128745,0.7355163043478261
4818900000,8540,1035,11595,100,440,21710,0.523394495412844
4819100000,1285,100,520,10,125,2040,0.722
4819300000,5540,60,450,4,91,6145,0.7283333333333334
4819500000,1900,10,1125,4,106,3145,0.75
4819700000,1885,120,540,25,60,2630,0.75
4819900000,37090,2235,2075,155,890,42445,0.5768627450980393
4820100000,1046095,638100,902085,197810,61295,2845385,0.5222403987475238
4820300000,33825,10890,4635,265,1260,50875,0.5
4820500000,2385,355,875,4,146,3765,0.7372727272727273
4820700000,3020,260,855,4,71,4210,0.6785714285714286
4820900000,108855,7435,62695,2875,4215,186075,0.5155967741935484
4821100000,1685,10,500,0,70,2265,0.74
4821300000,52050,3410,5715,260,1835,63270,0.7443434343434343
4821500000,45050,3340,401205,4880,1715,456190,0.5216494845360825
4821700000,20305,1560,4270,130,480,26745,0.64
4821900000,7765,520,6205,10,215,14715,0.7466666666666667
4822100000,43305,530,4555,275,930,49595,0.5139716312056738
4822300000,21040,1875,2395,145,540,25995,0.5247916666666667
4822500000,10855,3820,1690,130,630,17125,0.7509375
4822700000,12020,1450,8800,245,440,22955,0.7457894736842106
4822900000,745,25,1010,0,95,1875,0.64
4823100000,56095,5985,9925,540,1905,74450,0.5605769230769231
4823300000,10980,380,2925,75,450,14810,0.7388372093023255
4823500000,735,0,290,0,15,1040,0.5466666666666666
4823700000,5195,250,800,4,141,6390,0.504
4823900000,7035,860,2825,180,60,10960,0.7395238095238095
4824100000,19235,3740,1185,25,480,24665,0.73
4824300000,975,0,355,0,25,1355,0.7442857142857143
4824500000,78420,61825,25440,5220,2960,173865,0.7432753623188406
4824700000,545,4,2540,10,6,3105,0.5818181818181818
4824900000,5690,215,21335,160,180,27580,0.64
4825100000,97655,6195,25520,1085,3125,133580,0.7532142857142857
4825300000,9390,2010,4095,50,630,16175,0.744
4825500000,4430,935,5265,160,360,11150,0.5515789473684211
4825700000,64420,17665,20100,1520,2415,106120,0.7467692307692307
4825900000,26805,240,5900,290,775,34010,0.7439622641509434
4826100000,4,0,35,4,-3,40,0.7322222222222222
4826500000,31520,800,8385,425,610,41740,0.555
4826700000,2700,45,650,0,55,3450,0.64
4826900000,115,0,10,0,15,140,0.75
4827100000,1400,4,1240,0,61,2705,0.75
4827300000,5400,725,15485,225,460,22295,0.681875
4827500000,1510,100,640,10,80,2340,0.765
4827700000,28705,4720,2285,270,1260,37240,0.733225806451613
4827900000,3845,265,4035,65,135,8345,0.7493939393939394
4828100000,12660,710,2750,175,510,16805,0.7439130434782608
4828500000,11940,725,1765,40,295,14765,0.7430666666666667
4828700000,9160,1480,2300,0,140,13080,0.7336363636363636
4828900000,9575,885,1160,30,250,11900,0.75
4829100000,39620,5975,12140,310,1265,59310,0.57
4829300000,10555,2880,2030,140,210,15815,0.5316417910447762
4829500000,1295,10,365,0,135,1805,0.5466666666666666
4829700000,4630,235,3005,30,435,8335,0.5636363636363636
4829900000,16075,175,1515,80,310,18155,0.520655737704918
4830300000,134525,14665,73470,3400,4510,230570,0.5083116883116883
4830500000,2265,65,1575,4,71,3980,0.7425925925925926
4830700000,4020,60,1365,4,156,5605,0.57
4830900000,118280,25930,34350,2095,4160,184815,0.5
4831100000,195,0,165,0,5,365,0.73
4831300000,5730,1815,1745,40,440,9770,0.64
4831500000,5670,1620,280,35,180,7785,0.5279069767441861
4831700000,1875,65,1260,0,165,3365,0.5477272727272727
4832300000,1225,95,28825,55,505,30705,0.641875
4832500000,18590,1540,18400,4,616,39150,0.5135714285714286
4832700000,1000,10,380,0,45,1435,0.64
4832900000,57525,7190,42810,1420,2125,111070,0.7457142857142857
4833100000,13065,1680,3515,15,380,18655,0.5295081967213114
4833300000,2985,20,515,4,81,3605,0.57
4833500000,3415,510,2480,130,605,7140,0.7390909090909091
4833700000,13750,10,1095,40,470,15365,0.7390909090909091
4833900000,307165,26305,79040,11120,9005,432635,0.5185366951823502
4834100000,4815,335,4860,45,605,10660,0.742
4834300000,6085,1695,540,80,490,8890,0.735
4834500000,905,35,75,0,30,1045,0.57
4834700000,31120,8335,5850,225,960,46490,0.5378260869565218
4834900000,22700,4410,6550,285,1060,35005,0.7434959349593496
4835100000,7510,1715,250,35,160,9670,0.7533333333333333
4835300000,6335,420,3580,15,275,10625,0.7407692307692307
4835700000,3230,0,1845,15,125,5215,0.7281818181818182
4835900000,1045,10,220,4,1,1280,0.734
4836100000,51290,5160,4080,485,1075,62090,0.744927536231884
4836300000,17230,550,2950,105,320,21155,0.524950495049505
4836700000,98065,1725,11520,740,2380,114430,0.5204776119402985
4836900000,2435,30,2845,0,140,5450,0.742
4837100000,2820,535,6705,210,70,10340,0.7366666666666667
4837500000,41180,7530,23705,2015,1590,76020,0.5216309012875536
4837900000,8555,315,655,55,290,9870,0.5466666666666666
4838100000,78140,2680,21535,1490,2505,106350,0.5212080536912752
4838300000,640,55,1080,10,35,1820,0.5466666666666666
4838500000,1610,4,420,0,1,2035,0.75
4838700000,6990,1525,345,25,190,9075,0.5518518518518518
4838900000,1450,190,6920,25,30,8615,0.7705882352941177
4839100000,2340,300,2380,15,105,5140,0.5416216216216216
4839300000,505,4,45,0,11,565,0.57
4839500000,7780,2520,1930,45,115,12390,0.6778571428571428
4839700000,57675,6890,13830,2230,1435,82060,0.7456944444444444
4839900000,4775,285,2140,0,75,7275,0.65
4840100000,26115,5915,4785,125,1820,38760,0.7546153846153846
4840300000,7160,370,245,145,240,8160,0.5466666666666666
4840500000,4470,1340,175,0,70,6055,0.57
4840700000,15940,1955,2160,10,480,20545,0.52
4840900000,21685,850,25765,350,735,49385,0.5110975609756098
4841300000,885,20,835,0,20,1760,0.735
4841500000,6830,440,4375,50,380,12075,0.7441818181818182
4841700000,2050,15,305,4,66,2440,0.575
4842100000,1055,4,510,0,6,1575,0.7390909090909091
4842300000,111675,30340,22140,1965,2765,168885,0.7441801385681294
4842500000,5815,115,785,0,175,6890,0.7452941176470588
4842700000,1110,75,31105,15,0,32305,0.71
4842900000,5235,245,1305,35,135,6955,0.73
4843300000,755,4,135,0,1,895,0.66
4843500000,850,4,1265,0,61,2180,0.7429411764705882
4843700000,2500,445,1815,10,120,4890,0.7373684210526316
