region_id,cvap_white,cvap_black,cvap_hispanic,cvap_asian,cvap_other,cvap_total,total_ballots_cast,mail_reject_total
4800100000,26950,8695,6770,245,1820,44480,19548,119
4800300000,5465,345,5450,20,165,11445,6082,1
4800500000,40595,7610,8720,690,2550,60165,34624,62
4800700000,14395,255,4440,230,665,19985,13173,90
4800900000,5935,25,365,20,155,6500,5149,1
4801100000,1290,10,90,4,26,1420,1122,1
4801300000,12820,395,20150,165,405,33935,18643,130
4801500000,15415,2000,3820,145,335,21715,15508,31
4801700000,1810,30,2470,15,10,4335,1757,8
4801900000,13895,210,2855,55,385,17400,13685,63
4802100000,39850,4775,19770,525,1450,66370,40197,264
4802300000,2250,25,280,0,55,2610,1701,9
4802500000,7600,1830,13520,95,865,23910,8998,186
4802700000,128305,58475,56390,6425,11230,260825,134924,2444
4802900000,447255,112910,766045,33355,33335,1392900,765007,2717
4803100000,7915,90,1290,45,170,9510,8653,81
4803300000,355,25,85,0,10,475,389,0
4803500000,11725,200,1650,75,300,13950,9704,89
4803700000,45430,16730,3615,600,1750,68125,36832,85
4803900000,129015,43685,68040,15015,4770,260525,167384,1441
4804100000,108780,17755,35415,5950,3420,171320,93195,906
4804300000,4550,25,2860,30,70,7535,4679,55
4804500000,740,40,160,0,5,945,754,1
4804700000,535,55,4740,0,35,5365,2486,5
4804900000,22410,900,5515,145,560,29530,16976,8
4805100000,9695,1660,1900,4,196,13455,9411,12
4805300000,30825,480,5835,165,1015,38320,28374,143
4805500000,14495,1700,14820,190,765,31970,16055,274
4805700000,6915,370,6275,485,235,14280,7932,30
4805900000,9430,140,1015,15,325,10925,7042,39
4806100000,31435,1415,209260,1435,1260,244805,117817,346
4806300000,5480,1400,1175,80,215,8350,5283,13
4806500000,3790,35,410,4,246,4485,3220,37
4806700000,17125,3590,605,65,360,21745,14312,113
4806900000,1770,70,2420,10,60,4330,2089,0
4807100000,23410,2930,5835,710,455,33340,25331,293
4807300000,24485,5245,4400,155,555,34840,20603,82
4807500000,2965,450,1705,10,190,5320,2285,6
4807700000,7400,115,455,25,270,8265,5983,27
4807900000,690,95,765,0,20,1570,915,15
4808100000,2035,4,495,4,57,2595,1850,29
4808300000,4960,220,515,35,95,5825,4181,0
4808500000,445790,82645,90310,88160,19330,726235,521148,3398
4808700000,1160,125,530,0,80,1895,1212,0
4808900000,9610,1870,3415,45,170,15110,10104,70
4809100000,92430,3270,31365,1710,2830,131605,105165,1265
4809300000,7655,60,1845,35,175,9770,1744,0
4809500000,1760,120,605,30,55,2570,1205,5
4809700000,24705,1030,3725,260,780,30500,20716,171
4809900000,37100,8465,10950,1215,4565,62295,24064,36
4810100000,640,65,255,0,55,1015,662,1
4810300000,1130,75,1360,45,25,2635,1421,25
4810500000,885,15,1070,0,0,1970,1434,1
4810700000,1620,85,1790,50,75,3620,1890,0
4810900000,180,4,1390,0,66,1640,796,0
4811100000,2105,85,1275,4,181,3650,1479,17
4811300000,594420,419540,420195,84860,39930,1558945,861774,5962
4811500000,3475,750,4445,45,170,8885,3539,8
4811700000,3315,145,6895,0,205,10560,4334,17
4811900000,3315,335,255,4,131,4040,2674,9
4812100000,408915,72960,100595,47565,18825,648860,456118,4099
4812300000,8885,1240,4510,80,200,14915,7864,28
4812500000,835,25,380,4,6,1250,998,2
4812700000,635,60,4995,4,161,5855,3401,0
4812900000,2095,160,295,60,25,2635,1564,0
4813100000,1280,70,5765,0,80,7195,4645,65
4813300000,11210,370,1455,40,250,13325,8401,6
4813500000,38000,4905,52930,1000,1760,98595,41427,41
4813700000,655,20,390,0,30,1095,1012,6
4813900000,87450,19785,28695,1070,3295,140295,100702,326
4814100000,77935,18970,437560,5630,8845,548940,266685,1184
4814300000,26100,475,4930,185,585,32275,18503,45
4814500000,7245,2875,2440,40,200,12800,6297,0
4814700000,22570,2000,2325,70,820,27785,16473,37
4814900000,14770,1125,2510,60,250,18715,13438,30
4815100000,1925,120,650,0,100,2795,1842,2
4815300000,1635,95,1640,0,100,3470,2121,15
4815500000,670,4,90,4,57,825,549,0
4815700000,188675,122030,112735,102810,11895,538145,365490,1379
4815900000,6525,415,595,20,150,7705,5385,51
4816100000,10495,2335,1665,25,270,14790,8996,1
4816300000,2035,655,8535,65,190,11480,4981,0
4816500000,6190,470,3955,4,86,10705,6439,19
4816700000,156080,31605,51985,7735,5910,253315,162063,1549
4816900000,1765,340,1400,10,90,3605,1661,5
4817100000,17320,55,3300,65,325,21065,16695,90
4817300000,630,0,70,0,10,710,668,3
4817500000,3585,295,1515,0,65,5460,4017,23
4817700000,6715,1045,5340,50,105,13255,7795,1
4817900000,10195,890,2945,165,315,14510,7581,7
4818100000,81075,5350,8905,900,3810,100040,66469,314
4818300000,55785,17780,9170,730,2160,85625,47052,109
4818500000,14450,2665,4225,65,1055,22460,14178,91
4818700000,68435,10370,44245,2085,3610,128745,86820,1042
4818900000,8540,1035,11595,100,440,21710,9554,243
4819100000,1285,100,520,10,125,2040,1155,5
4819300000,5540,60,450,4,91,6145,4531,23
4819500000,1900,10,1125,4,106,3145,2011,0
4819700000,1885,120,540,25,60,2630,1421,6
4819900000,37090,2235,2075,155,890,42445,28303,84
4820100000,1046095,638100,902085,197810,61295,2845385,1570577,5748
4820300000,33825,10890,4635,265,1260,50875,30260,21
4820500000,2385,355,875,4,146,3765,2030,10
4820700000,3020,260,855,4,71,4210,2278,6
4820900000,108855,7435,62695,2875,4215,186075,126978,2146
4821100000,1685,10,500,0,70,2265,1625,1
4821300000,52050,3410,5715,260,1835,63270,39219,889
4821500000,45050,3340,401205,4880,1715,456190,218697,417
4821700000,20305,1560,4270,130,480,26745,16864,98
4821900000,7765,520,6205,10,215,14715,7917,6
4822100000,43305,530,4555,275,930,49595,36896,11
4822300000,21040,1875,2395,145,540,25995,16830,24
4822500000,10855,3820,1690,130,630,17125,9472,60
4822700000,12020,1450,8800,245,440,22955,9727,47
4822900000,745,25,1010,0,95,1875,1085,17
4823100000,56095,5985,9925,540,1905,74450,47262,310
4823300000,10980,380,2925,75,450,14810,8284,8
4823500000,735,0,290,0,15,1040,872,2
4823700000,5195,250,800,4,141,6390,4179,7
4823900000,7035,860,2825,180,60,10960,6368,28
4824100000,19235,3740,1185,25,480,24665,15916,53
4824300000,975,0,355,0,25,1355,1179,2
4824500000,78420,61825,25440,5220,2960,173865,87917,1122
4824700000,545,4,2540,10,6,3105,1610,0
4824900000,5690,215,21335,160,180,27580,13580,176
4825100000,97655,6195,25520,1085,3125,133580,85325,570
4825300000,9390,2010,4095,50,630,16175,7069,91
4825500000,4430,935,5265,160,360,11150,5105,11
4825700000,64420,17665,20100,1520,2415,106120,70333,578
4825900000,26805,240,5900,290,775,34010,29626,81
4826100000,4,0,35,4,-3,40,161,0
4826300000,495,4,80,0,21,600,456,0
4826500000,31520,800,8385,425,610,41740,28462,154
4826700000,2700,45,650,0,55,3450,2427,6
4826900000,115,0,10,0,15,140,135,0
4827100000,1400,4,1240,0,61,2705,1438,5
4827300000,5400,725,15485,225,460,22295,10314,165
4827500000,1510,100,640,10,80,2340,1389,12
4827700000,28705,4720,2285,270,1260,37240,21189,47
4827900000,3845,265,4035,65,135,8345,4205,53
4828100000,12660,710,2750,175,510,16805,11363,29
4828300000,995,225,3660,4,46,4930,2543,13
4828500000,11940,725,1765,40,295,14765,10533,11
4828700000,9160,1480,2300,0,140,13080,8531,67
4828900000,9575,885,1160,30,250,11900,9099,0
4829100000,39620,5975,12140,310,1265,59310,31725,282
4829300000,10555,2880,2030,140,210,15815,9076,4
4829500000,1295,10,365,0,135,1805,1274,26
4829700000,4630,235,3005,30,435,8335,5206,99
4829900000,16075,175,1515,80,310,18155,13785,84
4830100000,50,0,0,4,1,55,132,18
4830300000,134525,14665,73470,3400,4510,230570,129342,3275
4830500000,2265,65,1575,4,71,3980,2591,11
4830700000,4020,60,1365,4,156,5605,3543,15
4830900000,118280,25930,34350,2095,4160,184815,100435,52
4831100000,195,0,165,0,5,365,504,3
4831300000,5730,1815,1745,40,440,9770,5505,0
4831500000,5670,1620,280,35,180,7785,4815,64
4831700000,1875,65,1260,0,165,3365,2089,0
4831900000,2400,4,480,15,16,2915,2531,0
4832100000,12640,2640,8980,265,445,24970,13364,12
4832300000,1225,95,28825,55,505,30705,16392,20
4832500000,18590,1540,18400,4,616,39150,24985,276
4832700000,1000,10,380,0,45,1435,1051,6
4832900000,57525,7190,42810,1420,2125,111070,59296,180
4833100000,13065,1680,3515,15,380,18655,11246,113
4833300000,2985,20,515,4,81,3605,2749,3
4833500000,3415,510,2480,130,605,7140,2538,77
4833700000,13750,10,1095,40,470,15365,11210,54
4833900000,307165,26305,79040,11120,9005,432635,309855,791
4834100000,4815,335,4860,45,605,10660,5388,0
4834300000,6085,1695,540,80,490,8890,5535,70
4834500000,905,35,75,0,30,1045,652,0
4834700000,31120,8335,5850,225,960,46490,25750,58
4834900000,22700,4410,6550,285,1060,35005,19986,62
4835100000,7510,1715,250,35,160,9670,5930,17
4835300000,6335,420,3580,15,275,10625,5174,31
4835500000,87530,10245,147155,4135,3055,252120,121970,91
4835700000,3230,0,1845,15,125,5215,3026,2
4835900000,1045,10,220,4,1,1280,980,0
4836100000,51290,5160,4080,485,1075,62090,36471,28
4836300000,17230,550,2950,105,320,21155,13574,205
4836500000,12910,2040,830,80,930,16790,11519,3
4836700000,98065,1725,11520,740,2380,114430,91037,189
4836900000,2435,30,2845,0,140,5450,2544,26
4837100000,2820,535,6705,210,70,10340,4279,2
4837300000,30295,3280,4475,230,1695,39975,24359,46
4837500000,41180,7530,23705,2015,1590,76020,32364,95
4837700000,940,0,2275,0,190,3405,2014,1
4837900000,8555,315,655,55,290,9870,6554,16
4838100000,78140,2680,21535,1490,2505,106350,67447,116
4838300000,640,55,1080,10,35,1820,951,0
4838500000,1610,4,420,0,1,2035,1894,2
4838700000,6990,1525,345,25,190,9075,5814,7
4838900000,1450,190,6920,25,30,8615,3492,0
4839100000,2340,300,2380,15,105,5140,3109,10
4839300000,505,4,45,0,11,565,576,2
4839500000,7780,2520,1930,45,115,12390,8204,25
4839700000,57675,6890,13830,2230,1435,82060,63050,340
4839900000,4775,285,2140,0,75,7275,3672,61
4840100000,26115,5915,4785,125,1820,38760,21890,66
4840300000,7160,370,245,145,240,8160,5591,0
4840500000,4470,1340,175,0,70,6055,3771,8
4840700000,15940,1955,2160,10,480,20545,12851,13
4840900000,21685,850,25765,350,735,49385,25820,134
4841100000,3095,125,860,10,215,4305,2720,1
4841300000,885,20,835,0,20,1760,1119,2
4841500000,6830,440,4375,50,380,12075,5746,5
4841700000,2050,15,305,4,66,2440,1736,3
4841900000,11365,2875,1765,20,570,16595,9992,0
4842100000,1055,4,510,0,6,1575,909,3
4842300000,111675,30340,22140,1965,2765,168885,104623,92
4842500000,5815,115,785,0,175,6890,5363,41
4842700000,1110,75,31105,15,0,32305,17092,45
4842900000,5235,245,1305,35,135,6955,3762,0
4843100000,625,4,155,4,-3,785,640,3
4843300000,755,4,135,0,1,895,726,0
4843500000,850,4,1265,0,61,2180,1411,4
4843700000,2500,445,1815,10,120,4890,2284,10
4843900000,742560,251625,302795,68075,36245,1401300,831962,3997
4844100000,71200,7270,21890,1565,2180,104105,56628,242
4844300000,410,0,315,0,0,725,417,3
4844500000,3310,355,3840,15,115,7635,3489,48
4844700000,1160,0,55,0,15,1230,904,1
4844900000,10935,2090,5080,155,295,18555,10249,13
4845100000,50975,3095,30460,795,1800,87125,46497,731
4845300000,525665,79770,236800,53545,25820,921600,591091,4640
4845500000,8920,995,690,4,206,10815,7456,20
4845700000,12675,1910,865,75,280,15805,9766,80
4845900000,25675,2220,2115,60,920,30990,19975,15
4846100000,1040,30,1275,4,26,2375,1304,15
4846300000,5395,155,11165,175,195,17085,9986,164
4846500000,6140,515,22680,195,405,29935,14706,46
4846700000,39710,1345,3515,180,900,45650,28339,264
4846900000,32320,3860,27155,690,840,64865,35331,20
4847100000,36845,12745,10760,655,2265,63270,25290,60
4847300000,18315,12055,9170,435,1230,41205,27160,49
4847500000,3185,380,4005,30,50,7650,3902,68
4847700000,18690,4185,3275,330,645,27125,18387,65
4847900000,7830,780,130935,470,445,140460,68823,71
4848100000,14980,3875,9765,95,250,28965,16534,0
4848300000,2710,75,430,50,80,3345,2282,0
4848500000,66220,9870,15120,1620,2750,95580,44782,187
4848700000,5985,650,2310,125,420,9490,4498,4
4848900000,1770,295,11555,0,140,13760,5565,0
4849100000,280190,30855,92745,24445,12985,441220,314229,3453
4849300000,22930,680,13825,45,645,38125,27613,57
4849500000,1960,205,2550,0,10,4725,1949,6
4849700000,42350,730,6615,275,1175,51145,38777,378
4849900000,31235,1480,2615,130,745,36205,24618,101
4850100000,1570,10,2315,30,165,4090,2406,9
4850300000,10830,170,1680,0,285,12965,8394,0
4850500000,540,35,6545,30,35,7185,5038,1
4850700000,420,45,5955,40,0,6460,3570,1
